name,genre,year,gross,released2,Release,Opening,TotalGross,Date,Distributor
Straight Outta Compton,Biography,2015,201634991.0,2015-08-14,Straight Outta Compton,60200180.0,161197785.0,2015-08-14,Universal Pictures
Heaven Is for Real,Biography,2014,101982712.0,2014-04-16,Heaven Is for Real,22522221.0,91443253.0,2014-04-16,TriStar Pictures
Knives Out,Comedy,2019,311539397.0,2019-11-27,Knives Out,26769548.0,165363234.0,2019-11-27,Lions Gate Films
Hustlers,Comedy,2019,157563598.0,2019-09-13,Hustlers,33181361.0,104963598.0,2019-09-13,STX Entertainment
A Madea Family Funeral,Comedy,2019,74747725.0,2019-03-01,A Madea Family Funeral,27062332.0,73257045.0,2019-03-01,Lions Gate Films
Mary Poppins Returns,Comedy,2018,349546142.0,2018-12-19,Mary Poppins Returns,23523121.0,171958438.0,2018-12-19,Walt Disney Studios Motion Pictures
Night School,Comedy,2018,103105878.0,2018-09-28,Night School,27257615.0,77339130.0,2018-09-28,Universal Pictures
The House with a Clock in Its Walls,Comedy,2018,131523093.0,2018-09-21,The House with a Clock in Its Walls,26608020.0,68549695.0,2018-09-21,Universal Pictures
Crazy Rich Asians,Comedy,2018,238539198.0,2018-08-15,Crazy Rich Asians,26510140.0,174532921.0,2018-08-15,Warner Bros.
Mamma Mia! Here We Go Again,Comedy,2018,395618157.0,2018-07-20,Mamma Mia! Here We Go Again,34952180.0,120634935.0,2018-07-20,Universal Pictures
Daddy's Home 2,Comedy,2017,180613824.0,2017-11-10,Daddy's Home 2,29651193.0,104029443.0,2017-11-10,Paramount Pictures
Happy Death Day,Comedy,2017,125479266.0,2017-10-13,Happy Death Day,26039025.0,55683845.0,2017-10-13,Universal Pictures
Bad Moms,Comedy,2016,183936074.0,2016-07-29,Bad Moms,23817340.0,113257297.0,2016-07-29,STX Entertainment
Neighbors 2: Sorority Rising,Comedy,2016,108007109.0,2016-05-20,Neighbors 2: Sorority Rising,21760405.0,55455765.0,2016-05-20,Universal Pictures
Daddy's Home,Comedy,2015,242786137.0,2015-12-25,Daddy's Home,38740203.0,150357137.0,2015-12-25,Paramount Pictures
Trainwreck,Comedy,2015,140795793.0,2015-07-17,Trainwreck,30097040.0,110212700.0,2015-07-17,Universal Pictures
Ted 2,Comedy,2015,215863606.0,2015-06-26,Ted 2,33507870.0,81476385.0,2015-06-26,Universal Pictures
Pitch Perfect 2,Comedy,2015,287144079.0,2015-05-15,Pitch Perfect 2,69216890.0,184296230.0,2015-05-15,Universal Pictures
Get Hard,Comedy,2015,111711453.0,2015-03-27,Get Hard,33803253.0,90411453.0,2015-03-27,Warner Bros.
Tammy,Comedy,2014,100375432.0,2014-07-02,Tammy,21577049.0,84525432.0,2014-07-02,Warner Bros.
Think Like a Man Too,Comedy,2014,70181428.0,2014-06-20,Think Like a Man Too,29241911.0,65182182.0,2014-06-20,Screen Gems
Neighbors,Comedy,2014,270665134.0,2014-05-09,Neighbors,49033915.0,150157400.0,2014-05-09,Universal Pictures
The Other Woman,Comedy,2014,196710396.0,2014-04-25,The Other Woman,24763752.0,83911193.0,2014-04-25,Twentieth Century Fox
The Monuments Men,Comedy,2014,156706638.0,2014-02-07,The Monuments Men,22003433.0,78031620.0,2014-02-07,Sony Pictures Entertainment (SPE)
Joker,Crime,2019,1074427370.0,2019-10-04,Joker,96202337.0,335451311.0,2019-10-04,Warner Bros.
Halloween,Crime,2018,255614941.0,2018-10-19,Halloween,76221545.0,159342015.0,2018-10-19,Universal Pictures
Murder on the Orient Express,Crime,2017,352794081.0,2017-11-10,Murder on the Orient Express,28681472.0,102826543.0,2017-11-10,Twentieth Century Fox
The Girl on the Train,Crime,2016,173185859.0,2016-10-07,The Girl on the Train,24536265.0,75395035.0,2016-10-07,Universal Pictures
Don't Breathe,Crime,2016,157830487.0,2016-08-26,Don't Breathe,26411706.0,89217875.0,2016-08-26,Screen Gems
No Good Deed,Crime,2002,1440653.0,2014-11-20,No Good Deed,24250283.0,52543632.0,2014-09-12,Screen Gems
Downton Abbey,Drama,2019,237860050.0,2019-09-20,Downton Abbey,31033665.0,96853865.0,2019-09-20,Focus Features
It Chapter Two,Drama,2019,473093228.0,2019-09-06,It Chapter Two,91062152.0,211593228.0,2019-09-06,Warner Bros.
Glass,Drama,2019,246999039.0,2019-01-18,Glass,40328920.0,111048468.0,2019-01-18,Universal Pictures
Creed II,Drama,2018,214215889.0,2018-11-21,Creed II,35574710.0,115715889.0,2018-11-21,Metro-Goldwyn-Mayer (MGM)
A Star Is Born,Drama,2018,436188866.0,2018-10-05,A Star Is Born,42908051.0,215288866.0,2018-10-05,Warner Bros.
A Quiet Place,Drama,2018,350320413.0,2018-04-06,A Quiet Place,50203562.0,188024361.0,2018-04-06,Paramount Pictures
Fifty Shades Freed,Drama,2018,371987838.0,2018-02-09,Fifty Shades Freed,38560195.0,100407760.0,2018-02-09,Universal Pictures
Wonder,Drama,2017,306209289.0,2017-11-17,Wonder,27547866.0,132422809.0,2017-11-17,Lions Gate Films
Fifty Shades Darker,Drama,2017,381545846.0,2017-02-10,Fifty Shades Darker,46607250.0,114581250.0,2017-02-10,Universal Pictures
Arrival,Drama,2016,203388186.0,2016-11-11,Arrival,24074047.0,100546139.0,2016-11-11,Paramount Pictures
Lights Out,Drama,2016,148868835.0,2016-07-22,Lights Out,21688103.0,67268835.0,2016-07-22,Warner Bros.
Creed,Drama,2015,173567581.0,2015-11-25,Creed,29632823.0,109767581.0,2015-11-25,Warner Bros.
Cinderella,Drama,2015,542358331.0,2015-03-13,Cinderella,67877361.0,201151353.0,2015-03-13,Walt Disney Studios Motion Pictures
Fifty Shades of Grey,Drama,2015,569651467.0,2015-02-13,Fifty Shades of Grey,85171450.0,166167230.0,2015-02-13,Universal Pictures
Gone Girl,Drama,2014,369330363.0,2014-10-03,Gone Girl,37513109.0,167767189.0,2014-10-03,Twentieth Century Fox
The Fault in Our Stars,Drama,2014,307166834.0,2014-06-06,The Fault in Our Stars,48002523.0,124872350.0,2014-06-06,Twentieth Century Fox
Beauty and the Beast,Family,2017,1264434525.0,2017-03-17,Beauty and the Beast,174750616.0,504014165.0,2017-03-17,Walt Disney Studios Motion Pictures
Pet Sematary,Horror,2019,113118226.0,2019-04-05,Pet Sematary,24502775.0,54724696.0,2019-04-05,Paramount Pictures
Us,Horror,2019,255184580.0,2019-03-22,Us,71117625.0,175084580.0,2019-03-22,Universal Pictures
The Nun,Horror,2018,365551694.0,2018-09-07,The Nun,53807379.0,117450119.0,2018-09-07,Warner Bros.
Insidious: The Last Key,Horror,2018,167885588.0,2018-01-05,Insidious: The Last Key,29581355.0,67745330.0,2018-01-05,Universal Pictures
It,Horror,2017,701796444.0,2017-09-08,It,123403419.0,327481748.0,2017-09-08,Warner Bros.
Annabelle: Creation,Horror,2017,306515884.0,2017-08-11,Annabelle: Creation,35006404.0,102092201.0,2017-08-11,Warner Bros.
Alien: Covenant,Horror,2017,240891763.0,2017-05-19,Alien: Covenant,36160621.0,74262031.0,2017-05-19,Twentieth Century Fox
Get Out,Horror,2017,255589157.0,2017-02-24,Get Out,33377060.0,176040665.0,2017-02-24,Universal Pictures
Split,Horror,2016,278454417.0,2017-01-20,Split,40010975.0,138291365.0,2017-01-20,Universal Pictures
The Conjuring 2,Horror,2016,321788219.0,2016-06-10,The Conjuring 2,40406314.0,102470008.0,2016-06-10,Warner Bros.
The Visit,Horror,2015,98450062.0,2015-09-11,The Visit,25427560.0,65206105.0,2015-09-11,Universal Pictures
Insidious: Chapter 3,Horror,2015,112983889.0,2015-06-05,Insidious: Chapter 3,22692741.0,52218558.0,2015-06-05,Focus Features
Poltergeist,Horror,2015,95437994.0,2015-05-22,Poltergeist,22620386.0,47425125.0,2015-05-22,Twentieth Century Fox
Annabelle,Horror,2014,257579282.0,2014-10-03,Annabelle,37134255.0,84273813.0,2014-10-03,Warner Bros.
No Good Deed,Thriller,2014,54323210.0,2014-09-12,No Good Deed,24250283.0,52543632.0,2014-09-12,Screen Gems
