Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
Fantastic Four: Rise of the Silver Surfer,"$58,051,684 ","$131,921,738 ",44%,"3,959","$14,663 ",6/15/2007,Twentieth Century Fox
Sonic the Hedgehog,"$58,018,348 ","$148,974,665 ",39%,"4,167","$13,923 ",2/14/2020,Paramount Pictures
Hannibal,"$58,003,121 ","$165,092,268 ",35.10%,"3,230","$17,957 ",2/9/2001,Metro-Goldwyn-Mayer (MGM)
Mission: Impossible II,"$57,845,297 ","$215,409,889 ",26.80%,"3,653","$15,835 ",5/24/2000,Paramount Pictures
Ant-Man,"$57,225,526 ","$180,202,163 ",31.80%,"3,856","$14,840 ",7/17/2015,Walt Disney Studios Motion Pictures
22 Jump Street,"$57,071,445 ","$191,719,337 ",29.80%,"3,306","$17,262 ",6/13/2014,Sony Pictures Entertainment (SPE)
Sex and the City,"$57,038,404 ","$152,647,258 ",37.40%,"3,285","$17,363 ",5/30/2008,Warner Bros.
John Wick: Chapter 3 - Parabellum,"$56,818,067 ","$171,015,687 ",33.20%,"3,850","$14,757 ",5/17/2019,Lions Gate Films
Moana,"$56,631,401 ","$248,757,044 ",22.80%,"3,875","$14,614 ",11/23/2016,Walt Disney Studios Motion Pictures
Despicable Me,"$56,397,125 ","$251,513,985 ",22.40%,"3,476","$16,224 ",7/9/2010,Universal Pictures
War for the Planet of the Apes,"$56,262,929 ","$146,880,162 ",38.30%,"4,022","$13,988 ",7/14/2017,Twentieth Century Fox
Valentine's Day,"$56,260,707 ","$110,485,654 ",50.90%,"3,665","$15,350 ",2/12/2010,Warner Bros.
Ralph Breaks the Internet,"$56,237,634 ","$201,091,711 ",28%,"4,017","$13,999 ",11/21/2018,Walt Disney Studios Motion Pictures
Snow White and the Huntsman,"$56,217,700 ","$155,332,381 ",36.20%,"3,773","$14,900 ",6/1/2012,Universal Pictures
Big Hero 6,"$56,215,889 ","$222,527,828 ",25.30%,"3,761","$14,947 ",11/7/2014,Walt Disney Studios Motion Pictures
Charlie and the Chocolate Factory,"$56,178,450 ","$206,459,076 ",27.20%,"3,770","$14,901 ",7/15/2005,Warner Bros.
Fantastic Four,"$56,061,504 ","$154,696,080 ",36.20%,"3,602","$15,563 ",7/8/2005,Twentieth Century Fox
Gravity,"$55,785,112 ","$274,092,705 ",20.40%,"3,575","$15,604 ",10/4/2013,Warner Bros.
The Karate Kid,"$55,665,805 ","$176,591,618 ",31.50%,"3,663","$15,196 ",6/11/2010,Sony Pictures Entertainment (SPE)
Mission: Impossible - Rogue Nation,"$55,520,089 ","$195,042,377 ",28.50%,"3,956","$14,034 ",7/31/2015,Paramount Pictures
The Incredible Hulk,"$55,414,050 ","$134,806,913 ",41.10%,"3,505","$15,810 ",6/13/2008,Universal Pictures
The SpongeBob Movie: Sponge Out of Water,"$55,365,012 ","$162,994,032 ",34%,"3,641","$15,205 ",2/6/2015,Paramount Pictures
No Time to Die,"$55,225,007 ","$160,891,007 ",34.30%,"4,407","$12,531 ",10/8/2021,Metro-Goldwyn-Mayer (MGM)
Watchmen,"$55,214,334 ","$107,509,799 ",51.40%,"3,611","$15,290 ",3/6/2009,Warner Bros.
X-Men: First Class,"$55,101,604 ","$146,408,305 ",37.60%,"3,641","$15,133 ",6/3/2011,Twentieth Century Fox
How the Grinch Stole Christmas,"$55,082,330 ","$260,044,825 ",21.20%,"3,127","$17,615 ",11/17/2000,Universal Pictures
The Flash,"$55,043,679 ","$108,133,313 ",50.90%,"4,234","$13,000 ",6/16/2023,Warner Bros.
The Chronicles of Narnia: Prince Caspian,"$55,034,805 ","$141,621,490 ",38.90%,"3,929","$14,007 ",5/16/2008,Walt Disney Studios Motion Pictures
How to Train Your Dragon: The Hidden World,"$55,022,245 ","$160,799,505 ",34.20%,"4,259","$12,919 ",2/22/2019,Universal Pictures
Austin Powers: The Spy Who Shagged Me,"$54,917,604 ","$206,040,086 ",26.60%,"3,312","$16,581 ",6/9/1999,New Line Cinema
Rise of the Planet of the Apes,"$54,806,191 ","$176,760,185 ",31%,"3,648","$15,023 ",8/5/2011,Twentieth Century Fox
The Hobbit: The Battle of the Five Armies,"$54,724,334 ","$255,119,788 ",21.40%,"3,875","$14,122 ",12/17/2014,Warner Bros.
G.I. Joe: The Rise of Cobra,"$54,713,046 ","$150,201,498 ",36.40%,"4,007","$13,654 ",8/7/2009,Paramount Pictures
Mission: Impossible - Dead Reckoning Part One,"$54,688,347 ","$172,135,383 ",31.80%,"4,327","$12,638 ",7/12/2023,Paramount Pictures
Divergent,"$54,607,747 ","$150,947,895 ",36.20%,"3,936","$13,873 ",3/21/2014,Lions Gate Films
Men in Black 3,"$54,592,779 ","$179,020,854 ",30.50%,"4,248","$12,851 ",5/25/2012,Sony Pictures Entertainment (SPE)
San Andreas,"$54,588,173 ","$155,190,832 ",35.20%,"3,777","$14,452 ",5/29/2015,Warner Bros.
X-Men,"$54,471,475 ","$157,299,718 ",34.60%,"3,025","$18,007 ",7/14/2000,Twentieth Century Fox
Ted,"$54,415,205 ","$218,815,487 ",24.90%,"3,239","$16,800 ",6/29/2012,Universal Pictures
Pokémon: Detective Pikachu,"$54,365,242 ","$144,105,346 ",37.70%,"4,202","$12,937 ",5/10/2019,Warner Bros.
The Martian,"$54,308,575 ","$228,433,663 ",23.80%,"3,831","$14,176 ",10/2/2015,Twentieth Century Fox
Night at the Museum: Battle of the Smithsonian,"$54,173,286 ","$177,243,721 ",30.60%,"4,096","$13,225 ",5/22/2009,Twentieth Century Fox
Scooby-Doo,"$54,155,312 ","$153,294,164 ",35.30%,"3,447","$15,710 ",6/14/2002,Warner Bros.
The Nun,"$53,807,379 ","$117,450,119 ",45.80%,"3,876","$13,882 ",9/7/2018,Warner Bros.
Cars 3,"$53,688,680 ","$152,901,115 ",35.10%,"4,256","$12,614 ",6/16/2017,Walt Disney Studios Motion Pictures
Shazam!,"$53,505,326 ","$140,371,656 ",38.10%,"4,217","$12,688 ",4/5/2019,Warner Bros.
Green Lantern,"$53,174,303 ","$116,601,172 ",45.60%,"3,816","$13,934 ",6/17/2011,Warner Bros.
The Wolverine,"$53,113,752 ","$132,556,852 ",40.10%,"3,924","$13,535 ",7/26/2013,Twentieth Century Fox
The Lego Batman Movie,"$53,003,468 ","$175,750,384 ",30.20%,"4,088","$12,965 ",2/10/2017,Warner Bros.
Batman Forever,"$52,784,433 ","$184,031,112 ",28.70%,"2,842","$18,572 ",6/16/1995,Warner Bros.
Paranormal Activity 3,"$52,568,183 ","$104,028,807 ",50.50%,"3,321","$15,829 ",10/21/2011,Paramount Pictures
Superman Returns,"$52,535,096 ","$200,081,192 ",26.30%,"4,065","$12,923 ",6/28/2006,Warner Bros.
The Bourne Supremacy,"$52,521,865 ","$176,241,941 ",29.80%,"3,165","$16,594 ",7/23/2004,Universal Pictures
The Divergent Series: Insurgent,"$52,263,680 ","$130,179,072 ",40.20%,"3,875","$13,487 ",3/20/2015,Lions Gate Films
"I, Robot","$52,179,887 ","$144,801,023 ",36%,"3,420","$15,257 ",7/16/2004,Twentieth Century Fox
Men in Black II,"$52,148,751 ","$190,418,803 ",27.40%,"3,557","$14,660 ",7/3/2002,Sony Pictures Entertainment (SPE)
Home,"$52,107,731 ","$177,397,510 ",29.40%,"3,708","$14,052 ",3/27/2015,Twentieth Century Fox
Van Helsing,"$51,748,040 ","$120,177,084 ",43.10%,"3,575","$14,474 ",5/7/2004,Universal Pictures
8 Mile,"$51,240,555 ","$116,750,901 ",43.90%,"2,470","$20,745 ",11/8/2002,Universal Pictures
Men in Black,"$51,068,455 ","$250,690,539 ",20.40%,"3,020","$16,910 ",7/2/1997,Sony Pictures Entertainment (SPE)
Bohemian Rhapsody,"$51,061,119 ","$216,428,042 ",23.60%,"4,000","$12,765 ",11/2/2018,Twentieth Century Fox
Prometheus,"$51,050,101 ","$126,477,084 ",40.40%,"3,396","$15,032 ",6/8/2012,Twentieth Century Fox
Wanted,"$50,927,085 ","$134,508,551 ",37.90%,"3,175","$16,040 ",6/27/2008,Universal Pictures
Coco,"$50,802,605 ","$210,460,015 ",24.10%,"3,987","$12,742 ",11/22/2017,Walt Disney Studios Motion Pictures
Jurassic Park III,"$50,771,645 ","$181,171,875 ",28%,"3,434","$14,784 ",7/18/2001,Universal Pictures
The Village,"$50,746,142 ","$114,197,520 ",44.40%,"3,730","$13,604 ",7/30/2004,Walt Disney Studios Motion Pictures
Lightyear,"$50,577,961 ","$118,307,188 ",42.80%,"4,255","$11,886 ",6/17/2022,Walt Disney Studios Motion Pictures
Dunkirk,"$50,513,488 ","$188,045,546 ",26.90%,"3,720","$13,578 ",7/21/2017,Warner Bros.
2 Fast 2 Furious,"$50,472,480 ","$127,154,901 ",39.70%,"3,408","$14,810 ",6/6/2003,Universal Pictures
Jackass 3D,"$50,353,641 ","$117,229,692 ",43%,"3,081","$16,343 ",10/15/2010,Paramount Pictures
Mr. & Mrs. Smith,"$50,342,878 ","$186,336,279 ",27%,"3,424","$14,702 ",6/10/2005,Twentieth Century Fox
Rush Hour 3,"$50,237,000 ","$140,125,968 ",35.80%,"3,778","$13,297 ",8/10/2007,New Line Cinema
Independence Day,"$50,228,264 ","$306,169,268 ",16.40%,"2,882","$17,428 ",7/3/1996,Twentieth Century Fox
A Quiet Place,"$50,203,562 ","$188,024,361 ",26.70%,"3,508","$14,311 ",4/6/2018,Paramount Pictures
The Boss Baby,"$50,198,902 ","$175,003,033 ",28.70%,"3,773","$13,304 ",3/31/2017,Twentieth Century Fox
King Kong,"$50,130,145 ","$218,080,025 ",23%,"3,568","$14,049 ",12/14/2005,Universal Pictures
The Great Gatsby,"$50,085,185 ","$144,840,419 ",34.60%,"3,535","$14,168 ",5/10/2013,Warner Bros.
Scary Movie 3,"$49,700,000 ","$110,003,217 ",45.20%,"3,505","$14,179 ",10/24/2003,Dimension Films
Taken 2,"$49,514,769 ","$139,854,287 ",35.40%,"3,661","$13,524 ",10/5/2012,Twentieth Century Fox
How to Train Your Dragon 2,"$49,451,322 ","$177,002,924 ",27.90%,"4,253","$11,627 ",6/13/2014,Twentieth Century Fox
Halloween Kills,"$49,404,980 ","$92,002,155 ",53.70%,"3,705","$13,334 ",10/15/2021,Universal Pictures
Wreck-It Ralph,"$49,038,712 ","$189,422,889 ",25.90%,"3,752","$13,070 ",11/2/2012,Walt Disney Studios Motion Pictures
Neighbors,"$49,033,915 ","$150,157,400 ",32.70%,"3,279","$14,953 ",5/9/2014,Universal Pictures
Alvin and the Chipmunks: The Squeakquel,"$48,875,415 ","$219,614,612 ",22.30%,"3,700","$13,209 ",12/23/2009,Twentieth Century Fox
Tangled,"$48,767,052 ","$200,821,936 ",24.30%,"3,603","$13,535 ",11/24/2010,Walt Disney Studios Motion Pictures
Batman Begins,"$48,745,440 ","$205,343,774 ",23.70%,"3,858","$12,634 ",6/15/2005,Warner Bros.
The Matrix Revolutions,"$48,475,154 ","$139,313,948 ",34.80%,"3,502","$13,842 ",11/5/2003,Warner Bros.
Hotel Transylvania 2,"$48,464,322 ","$169,700,110 ",28.60%,"3,754","$12,910 ",9/25/2015,Sony Pictures Entertainment (SPE)
The Fault in Our Stars,"$48,002,523 ","$124,872,350 ",38.40%,"3,173","$15,128 ",6/6/2014,Twentieth Century Fox
Godzilla: King of the Monsters,"$47,776,293 ","$110,500,138 ",43.20%,"4,108","$11,630 ",5/31/2019,Warner Bros.
Mission: Impossible III,"$47,743,273 ","$134,029,801 ",35.60%,"4,054","$11,776 ",5/5/2006,Paramount Pictures
Lara Croft: Tomb Raider,"$47,735,743 ","$131,168,070 ",36.40%,"3,308","$14,430 ",6/15/2001,Paramount Pictures
Kung Fu Panda 2,"$47,656,302 ","$165,249,063 ",28.80%,"3,925","$12,141 ",5/26/2011,DreamWorks
The Longest Yard,"$47,606,480 ","$158,119,460 ",30.10%,"3,634","$13,100 ",5/27/2005,Paramount Pictures
Shark Tale,"$47,604,606 ","$160,861,908 ",29.60%,"4,016","$11,853 ",10/1/2004,DreamWorks Distribution
A Quiet Place Part II,"$47,547,231 ","$160,072,261 ",29.70%,"3,726","$12,760 ",5/28/2021,Paramount Pictures
Interstellar,"$47,510,360 ","$188,020,017 ",25.30%,"3,561","$13,341 ",11/5/2014,Paramount Pictures
Madagascar,"$47,224,594 ","$193,595,521 ",24.40%,"4,131","$11,431 ",5/27/2005,DreamWorks Distribution
The Lord of the Rings: The Fellowship of the Ring,"$47,211,490 ","$313,364,114 ",15.10%,"3,359","$14,055 ",12/19/2001,New Line Cinema
Die Another Day,"$47,072,040 ","$160,942,139 ",29.20%,"3,314","$14,203 ",11/22/2002,Metro-Goldwyn-Mayer (MGM)
Talladega Nights: The Ballad of Ricky Bobby,"$47,042,215 ","$148,213,377 ",31.70%,"3,803","$12,369 ",8/4/2006,Sony Pictures Entertainment (SPE)
Ratatouille,"$47,027,395 ","$206,445,654 ",22.80%,"3,940","$11,935 ",6/29/2007,Walt Disney Studios Motion Pictures
Jurassic Park,"$47,026,828 ","$357,067,947 ",13.20%,"2,404","$19,561 ",6/11/1993,Universal Pictures
Troy,"$46,865,412 ","$133,378,256 ",35.10%,"3,411","$13,739 ",5/14/2004,Warner Bros.
The Secret Life of Pets 2,"$46,652,680 ","$158,874,395 ",29.40%,"4,561","$10,228 ",6/7/2019,Universal Pictures
Pirates of the Caribbean: The Curse of the Black Pearl,"$46,630,690 ","$305,413,918 ",15.30%,"3,269","$14,264 ",7/9/2003,Walt Disney Studios Motion Pictures
Ice Age: Continental Drift,"$46,629,259 ","$161,321,843 ",28.90%,"3,881","$12,014 ",7/13/2012,Twentieth Century Fox
Fifty Shades Darker,"$46,607,250 ","$114,581,250 ",40.70%,"3,710","$12,562 ",2/10/2017,Universal Pictures
Trolls,"$46,581,142 ","$153,707,064 ",30.30%,"4,060","$11,473 ",11/4/2016,Twentieth Century Fox
Bad Boys II,"$46,522,560 ","$138,608,444 ",33.60%,"3,186","$14,602 ",7/18/2003,Sony Pictures Entertainment (SPE)
Ice Age,"$46,312,454 ","$176,387,405 ",26.30%,"3,316","$13,966 ",3/15/2002,Twentieth Century Fox
Angels & Demons,"$46,204,168 ","$133,375,846 ",34.60%,"3,527","$13,100 ",5/15/2009,Sony Pictures Entertainment (SPE)
Meet the Fockers,"$46,120,980 ","$279,261,160 ",16.50%,"3,518","$13,110 ",12/22/2004,Universal Pictures
The Marvels,"$46,110,859 ","$81,419,870 ",56.60%,"4,030","$11,441 ",11/10/2023,Walt Disney Studios Motion Pictures
Ghostbusters,"$46,018,755 ","$128,350,574 ",35.80%,"3,963","$11,612 ",7/15/2016,Sony Pictures Entertainment (SPE)
Megamind,"$46,016,833 ","$148,415,853 ",31%,"3,944","$11,667 ",11/5/2010,DreamWorks
Dumbo,"$45,990,748 ","$114,766,307 ",40.10%,"4,259","$10,798 ",3/29/2019,Walt Disney Studios Motion Pictures
Batman Returns,"$45,687,711 ","$162,831,698 ",28.10%,"2,644","$17,279 ",6/19/1992,Warner Bros.
Mission: Impossible,"$45,436,830 ","$180,981,856 ",25.10%,"3,012","$15,085 ",5/22/1996,Paramount Pictures
Mad Max: Fury Road,"$45,428,128 ","$153,636,354 ",29.60%,"3,702","$12,271 ",5/15/2015,Warner Bros.
The Meg,"$45,402,195 ","$145,443,742 ",31.20%,"4,118","$11,025 ",8/10/2018,Warner Bros.
Ghost Rider,"$45,388,836 ","$115,802,596 ",39.20%,"3,619","$12,541 ",2/16/2007,Sony Pictures Entertainment (SPE)
American Pie 2,"$45,117,985 ","$145,103,595 ",31.10%,"3,063","$14,729 ",8/10/2001,Universal Pictures
300: Rise of an Empire,"$45,038,460 ","$106,580,051 ",42.30%,"3,470","$12,979 ",3/7/2014,Warner Bros.
Horton Hears a Who!,"$45,012,998 ","$154,529,439 ",29.10%,"3,954","$11,384 ",3/14/2008,Twentieth Century Fox
The Hangover,"$44,979,319 ","$277,322,503 ",16.20%,"3,269","$13,759 ",6/5/2009,Warner Bros.
National Treasure: Book of Secrets,"$44,783,772 ","$219,964,115 ",20.40%,"3,832","$11,686 ",12/21/2007,Walt Disney Studios Motion Pictures
Transformers: The Last Knight,"$44,680,073 ","$130,168,683 ",34.30%,"4,069","$10,980 ",6/21/2017,Paramount Pictures
The Hunger Games: The Ballad of Songbirds & Snakes,"$44,607,143 ","$125,099,432 ",35.70%,"3,776","$11,813 ",11/17/2023,Lions Gate Films
xXx,"$44,506,103 ","$142,109,382 ",31.30%,"3,374","$13,190 ",8/9/2002,Revolution Studios
Scream VI,"$44,447,270 ","$108,161,389 ",41.10%,"3,675","$12,094 ",3/10/2023,Paramount Pictures
Nope,"$44,366,910 ","$123,277,080 ",36%,"3,785","$11,721 ",7/22/2022,Universal Pictures
Alvin and the Chipmunks,"$44,307,417 ","$217,326,974 ",20.40%,"3,475","$12,750 ",12/14/2007,Twentieth Century Fox
The Peanuts Movie,"$44,213,073 ","$130,178,411 ",34%,"3,897","$11,345 ",11/6/2015,Twentieth Century Fox
Hotel Transylvania 3: Summer Vacation,"$44,076,225 ","$167,510,016 ",26.30%,"4,267","$10,329 ",7/13/2018,Sony Pictures Entertainment (SPE)
Godzilla,"$44,047,541 ","$136,314,294 ",32.30%,"3,310","$13,307 ",5/20/1998,Sony Pictures Entertainment (SPE)
Terminator 3: Rise of the Machines,"$44,041,440 ","$150,371,112 ",29.30%,"3,504","$12,568 ",7/2/2003,Warner Bros.
TRON: Legacy,"$44,026,211 ","$172,062,763 ",25.60%,"3,451","$12,757 ",12/17/2010,Walt Disney Studios Motion Pictures
Uncharted,"$44,010,155 ","$148,648,820 ",29.60%,"4,275","$10,294 ",2/18/2022,Sony Pictures Entertainment (SPE)
Ghostbusters: Afterlife,"$44,008,406 ","$129,360,575 ",34%,"4,315","$10,198 ",11/19/2021,Sony Pictures Entertainment (SPE)
Lucy,"$43,899,340 ","$126,663,600 ",34.70%,"3,173","$13,835 ",7/25/2014,Universal Pictures
How to Train Your Dragon,"$43,732,319 ","$217,581,231 ",20.10%,"4,055","$10,784 ",3/26/2010,DreamWorks
Noah,"$43,720,472 ","$101,200,044 ",43.20%,"3,567","$12,256 ",3/28/2014,Paramount Pictures
The Croods,"$43,639,736 ","$187,168,425 ",23.30%,"4,046","$10,785 ",3/22/2013,Twentieth Century Fox
American Gangster,"$43,565,135 ","$130,164,645 ",33.50%,"3,054","$14,264 ",11/2/2007,Universal Pictures
The Mummy,"$43,369,635 ","$155,385,488 ",27.90%,"3,210","$13,510 ",5/7/1999,Universal Pictures
Hitch,"$43,142,214 ","$179,495,555 ",24%,"3,575","$12,067 ",2/11/2005,Sony Pictures Entertainment (SPE)
A Star Is Born,"$42,908,051 ","$215,288,866 ",19.90%,"3,686","$11,640 ",10/5/2018,Warner Bros.
Batman & Robin,"$42,872,605 ","$107,325,195 ",40%,"2,934","$14,612 ",6/20/1997,Warner Bros.
Terminator Salvation,"$42,558,390 ","$125,322,469 ",34%,"3,530","$12,056 ",5/21/2009,Warner Bros.
Hotel Transylvania,"$42,522,194 ","$148,313,048 ",28.70%,"3,349","$12,696 ",9/28/2012,Sony Pictures Entertainment (SPE)
Nutty Professor II: The Klumps,"$42,518,830 ","$123,309,890 ",34.50%,"3,242","$13,115 ",7/28/2000,Universal Pictures
Shrek,"$42,347,760 ","$267,665,011 ",15.80%,"3,587","$11,805 ",5/16/2001,DreamWorks Distribution
Scary Movie,"$42,346,669 ","$157,019,771 ",27%,"2,912","$14,542 ",7/7/2000,Miramax
Anger Management,"$42,220,847 ","$135,645,823 ",31.10%,"3,551","$11,889 ",4/11/2003,Revolution Studios
Fantastic Beasts: The Secrets of Dumbledore,"$42,151,256 ","$95,850,844 ",44%,"4,208","$10,016 ",4/15/2022,Warner Bros.
High School Musical 3: Senior Year,"$42,030,184 ","$90,559,416 ",46.40%,"3,623","$11,600 ",10/24/2008,Walt Disney Studios Motion Pictures
The Conjuring,"$41,855,326 ","$137,400,141 ",30.50%,"2,903","$14,417 ",7/19/2013,Warner Bros.
Ready Player One,"$41,764,050 ","$137,690,172 ",30.30%,"4,234","$9,863 ",3/29/2018,Warner Bros.
Ice Age: Dawn of the Dinosaurs,"$41,690,382 ","$196,573,705 ",21.20%,"4,099","$10,170 ",7/1/2009,Twentieth Century Fox
The Hangover Part III,"$41,671,198 ","$112,200,072 ",37.10%,"3,555","$11,721 ",5/23/2013,Warner Bros.
Ocean's Eight,"$41,607,378 ","$140,218,711 ",29.70%,"4,145","$10,037 ",6/8/2018,Warner Bros.
Big Daddy,"$41,536,370 ","$163,479,795 ",25.40%,"3,027","$13,721 ",6/25/1999,Sony Pictures Entertainment (SPE)
Happy Feet,"$41,533,432 ","$198,000,317 ",21%,"3,804","$10,918 ",11/17/2006,Warner Bros.
Ride Along,"$41,516,170 ","$134,938,200 ",30.80%,"2,663","$15,590 ",1/17/2014,Universal Pictures
Grown Ups 2,"$41,508,572 ","$133,668,525 ",31%,"3,491","$11,890 ",7/12/2013,Sony Pictures Entertainment (SPE)
The Perfect Storm,"$41,325,042 ","$182,618,434 ",22.60%,"3,407","$12,129 ",6/30/2000,Warner Bros.
Kung Fu Panda 3,"$41,282,042 ","$143,528,619 ",28.80%,"3,955","$10,437 ",1/29/2016,Twentieth Century Fox
The Vow,"$41,202,458 ","$125,014,030 ",33%,"2,958","$13,929 ",2/10/2012,Screen Gems
Deep Impact,"$41,152,375 ","$140,464,664 ",29.30%,"3,156","$13,039 ",5/8/1998,Paramount Pictures
Once Upon a Time in Hollywood,"$41,082,018 ","$142,502,728 ",28.80%,"3,659","$11,227 ",7/26/2019,Sony Pictures Entertainment (SPE)
Shutter Island,"$41,062,440 ","$128,012,934 ",32.10%,"2,991","$13,728 ",2/19/2010,Paramount Pictures
Twister,"$41,059,405 ","$241,721,524 ",17%,"2,414","$17,008 ",5/10/1996,Warner Bros.
Independence Day: Resurgence,"$41,039,944 ","$103,144,286 ",39.80%,"4,130","$9,937 ",6/24/2016,Twentieth Century Fox
Madea Goes to Jail,"$41,030,947 ","$90,508,336 ",45.30%,"2,032","$20,192 ",2/20/2009,Lions Gate Films
Dune,"$41,011,174 ","$108,327,830 ",37.90%,"4,125","$9,942 ",10/22/2021,Warner Bros.
Casino Royale,"$40,833,156 ","$167,445,960 ",24.40%,"3,434","$11,890 ",11/17/2006,Sony Pictures Entertainment (SPE)
Paranormal Activity 2,"$40,678,424 ","$84,752,907 ",48%,"3,216","$12,648 ",10/22/2010,Paramount Pictures
Friday the 13th,"$40,570,365 ","$65,002,019 ",62.40%,"3,105","$13,066 ",2/13/2009,Warner Bros.
Grown Ups,"$40,506,562 ","$162,001,186 ",25%,"3,534","$11,461 ",6/25/2010,Sony Pictures Entertainment (SPE)
G.I. Joe: Retaliation,"$40,501,814 ","$122,523,060 ",33.10%,"3,719","$10,890 ",3/28/2013,Paramount Pictures
Batman,"$40,489,746 ","$251,188,924 ",16.10%,"2,194","$18,454 ",6/23/1989,Warner Bros.
The Mummy: Tomb of the Dragon Emperor,"$40,457,770 ","$102,491,776 ",39.50%,"3,760","$10,760 ",8/1/2008,Universal Pictures
The Conjuring 2,"$40,406,314 ","$102,470,008 ",39.40%,"3,343","$12,086 ",6/10/2016,Warner Bros.
Glass,"$40,328,920 ","$111,048,468 ",36.30%,"3,841","$10,499 ",1/18/2019,Universal Pictures
The Last Airbender,"$40,325,019 ","$131,772,187 ",30.60%,"3,169","$12,724 ",7/1/2010,Paramount Pictures
Daredevil,"$40,310,419 ","$102,543,518 ",39.30%,"3,471","$11,613 ",2/14/2003,Twentieth Century Fox
Power Rangers,"$40,300,288 ","$85,364,450 ",47.20%,"3,693","$10,912 ",3/24/2017,Lions Gate Films
Insidious: Chapter 2,"$40,272,103 ","$83,586,447 ",48.20%,"3,049","$13,208 ",9/13/2013,FilmDistrict
Scary Movie 4,"$40,222,875 ","$90,710,620 ",44.30%,"3,602","$11,166 ",4/14/2006,-
Safe House,"$40,172,720 ","$126,373,434 ",31.80%,"3,119","$12,880 ",2/10/2012,Universal Pictures
Charlie's Angels,"$40,128,550 ","$125,305,545 ",32%,"3,037","$13,213 ",11/3/2000,Sony Pictures Entertainment (SPE)
The Fast and the Furious,"$40,089,015 ","$144,533,925 ",27.70%,"2,628","$15,254 ",6/22/2001,Universal Pictures
Cloverfield,"$40,058,229 ","$80,048,433 ",50%,"3,411","$11,743 ",1/18/2008,Paramount Pictures
Halloween Ends,"$40,050,355 ","$64,079,860 ",62.50%,"3,901","$10,266 ",10/14/2022,Universal Pictures
Chicken Little,"$40,049,778 ","$135,386,665 ",29.60%,"3,654","$10,960 ",11/4/2005,Walt Disney Studios Motion Pictures
Click,"$40,011,365 ","$137,355,633 ",29.10%,"3,749","$10,672 ",6/23/2006,Revolution Studios
Split,"$40,010,975 ","$138,291,365 ",28.90%,"3,038","$13,170 ",1/20/2017,Universal Pictures
50 First Dates,"$39,852,237 ","$120,908,074 ",33%,"3,591","$11,097 ",2/13/2004,Sony Pictures Entertainment (SPE)
Wild Hogs,"$39,699,023 ","$168,273,550 ",23.60%,"3,287","$12,077 ",3/2/2007,Walt Disney Studios Motion Pictures
Sherlock Holmes: A Game of Shadows,"$39,637,079 ","$186,848,418 ",21.20%,"3,703","$10,704 ",12/16/2011,Warner Bros.
The Waterboy,"$39,414,071 ","$161,491,646 ",24.40%,"2,664","$14,795 ",11/6/1998,Walt Disney Studios Motion Pictures
Rio 2,"$39,327,869 ","$131,538,435 ",29.90%,"3,948","$9,961 ",4/11/2014,Twentieth Century Fox
Rio,"$39,225,962 ","$143,619,809 ",27.30%,"3,826","$10,252 ",4/15/2011,Twentieth Century Fox
Taken 3,"$39,201,657 ","$89,256,424 ",43.90%,"3,594","$10,907 ",1/9/2015,Twentieth Century Fox
The Break-Up,"$39,172,785 ","$118,703,275 ",33%,"3,070","$12,759 ",6/2/2006,Universal Pictures
The Good Dinosaur,"$39,155,217 ","$123,087,120 ",31.80%,"3,749","$10,444 ",11/25/2015,Walt Disney Studios Motion Pictures
Ocean's Twelve,"$39,153,380 ","$125,544,280 ",31.20%,"3,290","$11,900 ",12/10/2004,Warner Bros.
The Grudge,"$39,128,715 ","$110,359,362 ",35.50%,"3,245","$12,058 ",10/22/2004,Sony Pictures Entertainment (SPE)
Magic Mike,"$39,127,170 ","$113,721,571 ",34.40%,"2,930","$13,353 ",6/29/2012,Warner Bros.
Onward,"$39,119,861 ","$61,555,145 ",63.60%,"4,310","$9,076 ",3/6/2020,Walt Disney Studios Motion Pictures
The Heat,"$39,115,043 ","$159,582,188 ",24.50%,"3,181","$12,296 ",6/28/2013,Twentieth Century Fox
Kingsman: The Golden Circle,"$39,023,010 ","$100,229,647 ",38.90%,"4,003","$9,748 ",9/22/2017,Twentieth Century Fox
Morbius,"$39,005,895 ","$73,865,530 ",52.80%,"4,268","$9,139 ",4/1/2022,Columbia Pictures
Dinosaur,"$38,854,851 ","$137,748,063 ",28.20%,"3,257","$11,929 ",5/19/2000,Walt Disney Studios Motion Pictures
Daddy's Home,"$38,740,203 ","$150,357,137 ",25.80%,"3,271","$11,843 ",12/25/2015,Paramount Pictures
Get Smart,"$38,683,480 ","$130,319,208 ",29.70%,"3,911","$9,890 ",6/20/2008,Warner Bros.
Fifty Shades Freed,"$38,560,195 ","$100,407,760 ",38.40%,"3,768","$10,233 ",2/9/2018,Universal Pictures
You Don't Mess with the Zohan,"$38,531,374 ","$100,018,837 ",38.50%,"3,462","$11,129 ",6/6/2008,Sony Pictures Entertainment (SPE)
The Legend of Tarzan,"$38,527,856 ","$126,643,061 ",30.40%,"3,561","$10,819 ",7/1/2016,Warner Bros.
Over the Hedge,"$38,457,003 ","$155,019,340 ",24.80%,"4,059","$9,474 ",5/19/2006,DreamWorks
