name,genre,year,gross,released2
The Secret Life of Pets 2,Animation,2019,430051293.0,2019-06-07
Bharat,Action,2019,35261263.0,2019-06-05
Rocketman,Biography,2019,195179299.0,2019-05-31
Godzilla: King of the Monsters,Action,2019,386600138.0,2019-05-31
Ma,Horror,2019,61105744.0,2019-05-31
India's Most Wanted,Action,2019,1715851.0,2019-05-24
Booksmart,Comedy,2019,24959607.0,2019-05-24
Aladdin,Adventure,2019,1050693953.0,2019-05-24
Brightburn,Drama,2019,32893421.0,2019-05-24
Shed of the Dead,Comedy,2019,38901.0,2019-05-20
Aniara,Drama,2018,40124.0,2019-05-17
A Dog's Journey,Adventure,2019,75741734.0,2019-05-17
We Have Always Lived in the Castle,Drama,2018,62567.0,2019-05-17
The Sun Is also a Star,Drama,2019,6750029.0,2019-05-17
De De Pyaar De,Comedy,2019,1473116.0,2019-05-17
Trial by Fire,Biography,2018,148504.0,2019-05-17
Charlie Says,Biography,2018,98240.0,2019-05-17
John Wick: Chapter 3 - Parabellum,Action,2019,327281779.0,2019-05-17
Slaughterhouse Rulez,Action,2018,730762.0,2019-05-17
Saga of Tanya the Evil - The Movie,Animation,2019,288460.0,2019-05-16
"The Gangster, the Cop, the Devil",Action,2019,25775371.0,2019-05-15
Poms,Comedy,2019,16418218.0,2019-05-10
The Hustle,Comedy,2019,95017038.0,2019-05-10
Tolkien,Biography,2019,9090040.0,2019-05-10
Student of the Year 2,Action,2019,1635907.0,2019-05-10
Pokémon Detective Pikachu,Action,2019,433921300.0,2019-05-10
Geolkapseu,Action,2019,12147170.0,2019-05-09
Code Geass: Lelouch of the Re;Surrection,Animation,2019,9982083.0,2019-05-05
UglyDolls,Animation,2019,32450241.0,2019-05-03
Long Shot,Comedy,2019,53873809.0,2019-05-03
The Intruder,Thriller,2019,36599361.0,2019-05-03
42nd Street: The Musical,Musical,2019,2217255.0,2019-05-01
Avengers: Endgame,Action,2019,2797501328.0,2019-04-26
Body at Brighton Rock,Horror,2019,5123.0,2019-04-26
Hyenas,Comedy,1992,24672.0,2019-04-26
The Curse of la Llorona,Horror,2019,123133739.0,2019-04-19
Red Joan,Biography,2018,10647493.0,2019-04-19
Under the Silver Lake,Crime,2018,2053469.0,2019-04-19
Pilgrim's Progress,Animation,2019,3173282.0,2019-04-18
Breakthrough,Biography,2019,50444358.0,2019-04-17
Kalank,Drama,2019,17987034.0,2019-04-17
High on the Hog,Action,2019,45696.0,2019-04-16
High Life,Adventure,2018,2133033.0,2019-04-12
Missing Link,Animation,2019,26565710.0,2019-04-12
Little,Comedy,2019,49000667.0,2019-04-12
Crypto,Crime,2019,20440.0,2019-04-12
Hellboy,Action,2019,55065289.0,2019-04-12
After,Drama,2019,69756455.0,2019-04-12
